msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,es,unchanged,unchanged_like
,https://afthemes.com/products/chromenews-pro/,,es,unchanged,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,Dashboard,,es,unchanged,
,Customize,,es,unchanged,
,Ads Settings,,es,unchanged,
,Starter Sites,,es,unchanged,
,Block Patterns,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Support,,es,unchanged,
,Master Bundle Plan,,es,unchanged,
,Security check failed,,es,unchanged,
,Ads settings saved.,,es,unchanged,
,Global Ads Placement,,es,unchanged,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,es,unchanged,
,Header Ad,,es,unchanged,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,es,unchanged,
,Before Content,,es,unchanged,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,es,unchanged,
,After Content,,es,unchanged,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,es,unchanged,
,Before First Paragraph,,es,unchanged,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,es,unchanged,
,After Third Paragraph,,es,unchanged,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,es,unchanged,
,After Post Content,,es,unchanged,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,es,unchanged,
,Sidebar Ad,,es,unchanged,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,es,unchanged,
,Footer Ad,,es,unchanged,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,es,unchanged,
,Archive / Blog Ads,,es,unchanged,
,Before Post List,,es,unchanged,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,es,unchanged,
,After Post List,,es,unchanged,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,es,unchanged,
,Between Posts,,es,unchanged,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,es,unchanged,
,Save Ads Settings,,es,unchanged,
,Helpful YouTube Videos,,es,unchanged,
,Launch Your News Website Quickly,,es,unchanged,
,Use our free accessible theme to build a news site without coding.,,es,unchanged,
,Multi-Author Collaboration,,es,unchanged,
,Learn how to manage multiple authors smoothly with our plugin.,,es,unchanged,
,Import Gutenberg Patterns,,es,unchanged,
,Easily import templates and patterns for consistent layouts.,,es,unchanged,
,Elementor Tutorial for Beginners,,es,unchanged,
,Build a professional news site fast with no coding needed.,,es,unchanged,
,Multilingual Translation Guide,,es,unchanged,
,Step-by-step guide to translate your site into multiple languages.,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
