msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,es-ar,unchanged,unchanged_like
,https://afthemes.com/products/chromenews-pro/,,es-ar,unchanged,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,es-ar,unchanged,unchanged_like
,AF themes,,es-ar,unchanged,unchanged_like
,https://www.afthemes.com/,,es-ar,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es-ar,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es-ar,unchanged,unchanged_like
,Dashboard,,es-ar,unchanged,unchanged_like
,Customize,,es-ar,unchanged,unchanged_like
,Ads Settings,,es-ar,unchanged,unchanged_like
,Starter Sites,,es-ar,unchanged,unchanged_like
,Block Patterns,,es-ar,unchanged,unchanged_like
,Elementor Kits,,es-ar,unchanged,unchanged_like
,Support,,es-ar,unchanged,unchanged_like
,Master Bundle Plan,,es-ar,unchanged,unchanged_like
,Security check failed,,es-ar,unchanged,unchanged_like
,Ads settings saved.,,es-ar,unchanged,unchanged_like
,Global Ads Placement,,es-ar,unchanged,unchanged_like
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,es-ar,unchanged,unchanged_like
,Header Ad,,es-ar,unchanged,unchanged_like
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,es-ar,unchanged,unchanged_like
,Before Content,,es-ar,unchanged,unchanged_like
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,es-ar,unchanged,unchanged_like
,After Content,,es-ar,unchanged,unchanged_like
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,es-ar,unchanged,unchanged_like
,Before First Paragraph,,es-ar,unchanged,unchanged_like
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,es-ar,unchanged,unchanged_like
,After Third Paragraph,,es-ar,unchanged,unchanged_like
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,es-ar,unchanged,unchanged_like
,After Post Content,,es-ar,unchanged,unchanged_like
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,es-ar,unchanged,unchanged_like
,Sidebar Ad,,es-ar,unchanged,unchanged_like
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,es-ar,unchanged,unchanged_like
,Footer Ad,,es-ar,unchanged,unchanged_like
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,es-ar,unchanged,unchanged_like
,Archive / Blog Ads,,es-ar,unchanged,unchanged_like
,Before Post List,,es-ar,unchanged,unchanged_like
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,es-ar,unchanged,unchanged_like
,After Post List,,es-ar,unchanged,unchanged_like
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,es-ar,unchanged,unchanged_like
,Between Posts,,es-ar,unchanged,unchanged_like
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,es-ar,unchanged,unchanged_like
,Save Ads Settings,,es-ar,unchanged,unchanged_like
,Helpful YouTube Videos,,es-ar,unchanged,unchanged_like
,Launch Your News Website Quickly,,es-ar,unchanged,unchanged_like
,Use our free accessible theme to build a news site without coding.,,es-ar,unchanged,unchanged_like
,Multi-Author Collaboration,,es-ar,unchanged,unchanged_like
,Learn how to manage multiple authors smoothly with our plugin.,,es-ar,unchanged,unchanged_like
,Import Gutenberg Patterns,,es-ar,unchanged,unchanged_like
,Easily import templates and patterns for consistent layouts.,,es-ar,unchanged,unchanged_like
,Elementor Tutorial for Beginners,,es-ar,unchanged,unchanged_like
,Build a professional news site fast with no coding needed.,,es-ar,unchanged,unchanged_like
,Multilingual Translation Guide,,es-ar,unchanged,unchanged_like
,Step-by-step guide to translate your site into multiple languages.,,es-ar,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,es-ar,unchanged,unchanged_like
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es-ar,unchanged,unchanged_like
