msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,es-mx,unchanged,unchanged_like
,https://afthemes.com/products/chromenews-pro/,,es-mx,unchanged,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,es-mx,unchanged,unchanged_like
,AF themes,,es-mx,unchanged,unchanged_like
,https://www.afthemes.com/,,es-mx,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es-mx,unchanged,unchanged_like
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es-mx,unchanged,unchanged_like
,Dashboard,,es-mx,unchanged,unchanged_like
,Customize,,es-mx,unchanged,unchanged_like
,Ads Settings,,es-mx,unchanged,unchanged_like
,Starter Sites,,es-mx,unchanged,unchanged_like
,Block Patterns,,es-mx,unchanged,unchanged_like
,Elementor Kits,,es-mx,unchanged,unchanged_like
,Support,,es-mx,unchanged,unchanged_like
,Master Bundle Plan,,es-mx,unchanged,unchanged_like
,Security check failed,,es-mx,unchanged,unchanged_like
,Ads settings saved.,,es-mx,unchanged,unchanged_like
,Global Ads Placement,,es-mx,unchanged,unchanged_like
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,es-mx,unchanged,unchanged_like
,Header Ad,,es-mx,unchanged,unchanged_like
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,es-mx,unchanged,unchanged_like
,Before Content,,es-mx,unchanged,unchanged_like
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,es-mx,unchanged,unchanged_like
,After Content,,es-mx,unchanged,unchanged_like
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,es-mx,unchanged,unchanged_like
,Before First Paragraph,,es-mx,unchanged,unchanged_like
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,es-mx,unchanged,unchanged_like
,After Third Paragraph,,es-mx,unchanged,unchanged_like
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,es-mx,unchanged,unchanged_like
,After Post Content,,es-mx,unchanged,unchanged_like
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,es-mx,unchanged,unchanged_like
,Sidebar Ad,,es-mx,unchanged,unchanged_like
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,es-mx,unchanged,unchanged_like
,Footer Ad,,es-mx,unchanged,unchanged_like
