msgctxt,msgid,msgid_plural,target_lang,status,issues
,ChromeNews Pro,,hi,unchanged,
,https://afthemes.com/products/chromenews-pro/,,hi,unchanged,unchanged_like
,"ChromeNews Pro is a powerful WordPress theme that's perfect for news, blogs, and magazines. The theme comes with a number of free starting pages that may be easily integrated to construct a fantastic news hub. The theme is fully widgetized, with 16+ custom widgets and widget sections, allowing users to customize site content. It also offers a light and dark color mode for viewing articles and blog posts in a fashionable manner. It also includes a variety of useful customizer choices for creating an aesthetically pleasing news site. You may set it up as you want and see how it looks before making any changes with the live customizer. It supports Gutenberg blocks and RTL, as well as the WooCommerce plugin, allowing you to combine an online store with our newspaper theme. The theme is appropriate for a news, journal, magazine, publishing, or review website, as well as blogging. It's well-designed to help the website rank higher in search engines, and users will receive excellent support from the staff if they run into any issues while using it.",,hi,unchanged,
,AF themes,,hi,unchanged,
,https://www.afthemes.com/,,hi,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,hi,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,unchanged,
,Dashboard,,hi,unchanged,
,Customize,,hi,unchanged,
,Ads Settings,,hi,unchanged,
,Starter Sites,,hi,unchanged,
,Block Patterns,,hi,unchanged,
,Elementor Kits,,hi,unchanged,
,Support,,hi,unchanged,
,Master Bundle Plan,,hi,unchanged,
,Security check failed,,hi,unchanged,
,Ads settings saved.,,hi,unchanged,
,Global Ads Placement,,hi,unchanged,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,hi,unchanged,
,Header Ad,,hi,unchanged,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,hi,unchanged,
,Before Content,,hi,unchanged,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,hi,unchanged,
,After Content,,hi,unchanged,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,hi,unchanged,
,Before First Paragraph,,hi,unchanged,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,hi,unchanged,
,After Third Paragraph,,hi,unchanged,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,hi,unchanged,
,After Post Content,,hi,unchanged,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,hi,unchanged,
,Sidebar Ad,,hi,unchanged,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,hi,unchanged,
,Footer Ad,,hi,unchanged,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,hi,unchanged,
,Archive / Blog Ads,,hi,unchanged,
,Before Post List,,hi,unchanged,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,hi,unchanged,
,After Post List,,hi,unchanged,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,hi,unchanged,
,Between Posts,,hi,unchanged,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,hi,unchanged,
,Save Ads Settings,,hi,unchanged,
,Helpful YouTube Videos,,hi,unchanged,
,Launch Your News Website Quickly,,hi,unchanged,
,Use our free accessible theme to build a news site without coding.,,hi,unchanged,
,Multi-Author Collaboration,,hi,unchanged,
