msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,de,unchanged,unchanged_like
,https://afthemes.com/products/darknews/,,de,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,de,unchanged,
,AF themes,,de,unchanged,
,https://www.afthemes.com/,,de,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,de,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,de,unchanged,
,%s,,de,unchanged,placeholders
,Starter Sites,,de,unchanged,
,Block Patterns,,de,unchanged,
,Elementor Kits,,de,unchanged,
,Customize,,de,unchanged,
,Settings,,de,unchanged,
,Upgrade,,de,unchanged,unchanged_like
,The Templatespare plugin should be updated to the latest version,,de,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,de,unchanged,
,Blockspare plugin version should be more than %s.,,de,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,de,unchanged,
,Elespare plugin version should be more than %s.,,de,unchanged,placeholders
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,de,unchanged,
,Are you sure you want to install this plugin?,,de,unchanged,
,Install Now,,de,unchanged,
,Activate,,de,unchanged,
,Activated,,de,unchanged,
,Get Starter Sites,,de,unchanged,
,Get Started,,de,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,de,unchanged,
,By,,de,unchanged,
,More Details,,de,unchanged,
,Howdy!,,de,unchanged,
,%s is now installed and ready to use. We've assembled some links to get you started.,,de,unchanged,placeholders
,Explore Our Pre-Built Starter Websites!,,de,unchanged,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,de,unchanged,
,Demos/product,,de,unchanged,
,Theme dashboard,,de,unchanged,
,Documentation,,de,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,de,unchanged,
,Docs,,de,unchanged,
,Videos,,de,unchanged,unchanged_like
,Blog,,de,unchanged,unchanged_like
,Rate This Theme,,de,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,de,unchanged,
,"Error - unable to verify nonce, please try again.",,de,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,de,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,de,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,de,unchanged,placeholders
,Comments are closed.,,de,unchanged,
,%1$s by %2$s.,,de,unchanged,placeholders
,Primary Menu,,de,unchanged,
,Social Menu,,de,unchanged,
,Footer Menu,,de,unchanged,
%s font: on or off,on,,de,unchanged,
,Skip to content,,de,unchanged,
,-- Select --,,de,unchanged,
,Watch Online,,de,unchanged,
,Popular Tags,,de,unchanged,
,Breaking News,,de,unchanged,
,Youtube video Section,,de,unchanged,
,Express Posts Section,,de,unchanged,
,Express Posts 1,,de,unchanged,
,Express Posts 2,,de,unchanged,
,Posts List Section,,de,unchanged,
,Posts List %d,,de,unchanged,placeholders
,Posts Carousel,,de,unchanged,
,Latest,,de,unchanged,
,Popular,,de,unchanged,
,Trending,,de,unchanged,
,Editor's Picks,,de,unchanged,
,Trending Story,,de,unchanged,
,Featured Posts,,de,unchanged,
,Featured Categories,,de,unchanged,
,Featured Pages,,de,unchanged,
,Custom Options,,de,unchanged,
,Post list Section Title %d,,de,unchanged,placeholders
,View More,,de,unchanged,
,Read More,,de,unchanged,
,Trending Now,,de,unchanged,
,Connect with Us,,de,unchanged,
,Instagram,,de,unchanged,unchanged_like
,Popular News,,de,unchanged,
,Related Stories,,de,unchanged,
,You may have missed,,de,unchanged,
,Copyright &copy; All rights reserved.,,de,unchanged,
,Body Background Color (Dark Mode),,de,unchanged,
,Site Title Size,,de,unchanged,
,Site Title/Tagline Color,,de,unchanged,
,Header Image Mode,,de,unchanged,
