msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,es,unchanged,unchanged_like
,https://afthemes.com/products/darknews/,,es,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,es,unchanged,
,AF themes,,es,unchanged,
,https://www.afthemes.com/,,es,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,unchanged,
,%s,,es,unchanged,placeholders
,Starter Sites,,es,unchanged,
,Block Patterns,,es,unchanged,
,Elementor Kits,,es,unchanged,
,Customize,,es,unchanged,
,Settings,,es,unchanged,
,Upgrade,,es,unchanged,
,The Templatespare plugin should be updated to the latest version,,es,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,unchanged,
,Blockspare plugin version should be more than %s.,,es,unchanged,placeholders
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,es,unchanged,
,Elespare plugin version should be more than %s.,,es,unchanged,placeholders
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,es,unchanged,
,Are you sure you want to install this plugin?,,es,unchanged,
,Install Now,,es,unchanged,
,Activate,,es,unchanged,
,Activated,,es,unchanged,
,Get Starter Sites,,es,unchanged,
,Get Started,,es,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,unchanged,
,By,,es,unchanged,
,More Details,,es,unchanged,
,Howdy!,,es,unchanged,
,%s is now installed and ready to use. We've assembled some links to get you started.,,es,unchanged,placeholders
,Explore Our Pre-Built Starter Websites!,,es,unchanged,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,es,unchanged,
,Demos/product,,es,unchanged,
,Theme dashboard,,es,unchanged,
,Documentation,,es,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,es,unchanged,
,Docs,,es,unchanged,
,Videos,,es,unchanged,unchanged_like
,Blog,,es,unchanged,unchanged_like
,Rate This Theme,,es,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,es,unchanged,
,"Error - unable to verify nonce, please try again.",,es,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,es,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,es,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,placeholders
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,es,unchanged,placeholders
,Comments are closed.,,es,unchanged,
,%1$s by %2$s.,,es,unchanged,placeholders
,Primary Menu,,es,unchanged,
,Social Menu,,es,unchanged,
,Footer Menu,,es,unchanged,
%s font: on or off,on,,es,unchanged,
,Skip to content,,es,unchanged,
,-- Select --,,es,unchanged,
,Watch Online,,es,unchanged,
,Popular Tags,,es,unchanged,
,Breaking News,,es,unchanged,
,Youtube video Section,,es,unchanged,
,Express Posts Section,,es,unchanged,
,Express Posts 1,,es,unchanged,
,Express Posts 2,,es,unchanged,
,Posts List Section,,es,unchanged,
,Posts List %d,,es,unchanged,placeholders
,Posts Carousel,,es,unchanged,
